stage,lead_s,seed,tag,config_id,name,n_res,sr,leak,ridge,washout,lead_n,pred_n,win_s,rel_deg,amp_pred_deg,amp_leadend_deg,horizon,censored,horizon_strict,censored_strict,n_nonfinite,rms
Stage1,32.0,42,1438,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9850051391872228,97.84590892438413,41.34800328415911,42.01096057524355,1.7507344753751397,0,1.7507344753751397,0,0,86.73487966449629
Stage1,32.0,42,1439,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9849955488770092,66.5566778003688,54.9990307037864,50.03609072414427,0.9337228064314331,0,0.9337228064314331,0,0,127.37133032401046
Stage1,32.0,42,1439,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9849955488770092,66.5566778003688,54.9990307037864,50.03609072414427,3.9849955488770092,1,3.9849955488770092,1,0,1.0808109888827542
Stage1,32.0,42,1439,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9849955488770092,66.5566778003688,54.9990307037864,50.03609072414427,3.9849955488770092,1,3.9849955488770092,1,0,0.34243237836233126
Stage1,32.0,42,1440,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.985005507920164,92.36692089454493,51.79743281467795,56.19860808653452,0.13338930570444063,0,0.13338930570444063,0,0,134.95554584934285
Stage1,32.0,42,1440,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.985005507920164,92.36692089454493,51.79743281467795,56.19860808653452,0.9837461295702496,0,0.9837461295702496,0,0,87.99233523756035
Stage1,32.0,42,1440,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.985005507920164,92.36692089454493,51.79743281467795,56.19860808653452,2.584417798023537,0,2.584417798023537,0,0,7.185801084688877
Stage1,32.0,42,1441,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9850009753608893,77.42647300065325,43.18951489194669,43.82305557168661,1.3172178956213818,0,1.3172178956213818,0,0,115.0104995713702
Stage1,32.0,42,1441,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9850009753608893,77.42647300065325,43.18951489194669,43.82305557168661,3.9850009753608893,1,3.9850009753608893,1,0,1.5599760732264838
Stage1,32.0,42,1441,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9850009753608893,77.42647300065325,43.18951489194669,43.82305557168661,3.9850009753608893,1,3.9850009753608893,1,0,0.5130859999407977
Stage1,32.0,42,1442,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9850051991743385,85.81743922862228,54.905875791929006,57.78531848672257,0.33347323842463084,0,0.33347323842463084,0,0,134.73358964278287
Stage1,32.0,42,1442,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9850051991743385,85.81743922862228,54.905875791929006,57.78531848672257,0.400167886109557,0,0.400167886109557,0,0,131.98052271300907
Stage1,32.0,42,1442,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9850051991743385,85.81743922862228,54.905875791929006,57.78531848672257,0.8837040818252717,0,0.8837040818252717,0,0,26.305516908715855
Stage1,32.0,42,1443,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.98498499387874,81.23591153973615,62.577559896948,63.20716462758114,0.9503939106740091,0,0.9503939106740091,0,0,122.05714933566229
Stage1,32.0,42,1443,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.98498499387874,81.23591153973615,62.577559896948,63.20716462758114,3.98498499387874,1,3.98498499387874,1,0,3.8205874446908883
Stage1,32.0,42,1443,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.98498499387874,81.23591153973615,62.577559896948,63.20716462758114,3.98498499387874,1,3.98498499387874,1,0,2.796002656682366
Stage1,32.0,42,1444,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.984994361395678,50.8340099295571,41.91576407463725,42.38320215880761,2.5844105691059838,0,2.5844105691059838,0,0,65.8075241572745
Stage1,32.0,42,1444,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.984994361395678,50.8340099295571,41.91576407463725,42.38320215880761,3.984994361395678,1,3.984994361395678,1,0,1.2324578039924963
Stage1,32.0,42,1444,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.984994361395678,50.8340099295571,41.91576407463725,42.38320215880761,3.984994361395678,1,3.984994361395678,1,0,1.3761015545173987
Stage1,32.0,42,1445,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9849878163605013,47.25339057812756,39.38647106983624,39.43175005934187,3.9849878163605013,1,3.9849878163605013,1,0,0.6649314903404511
Stage1,32.0,42,1445,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9849878163605013,47.25339057812756,39.38647106983624,39.43175005934187,3.9849878163605013,1,3.9849878163605013,1,0,0.22908766213937054
Stage1,32.0,42,1445,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9849878163605013,47.25339057812756,39.38647106983624,39.43175005934187,3.9849878163605013,1,3.9849878163605013,1,0,0.21562735116595963
Stage1,32.0,42,1446,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9849902128698886,83.38159433721623,56.774819338209824,46.73207240486431,0.33347198434057645,0,0.33347198434057645,0,0,109.31825267964426
Stage1,32.0,42,1446,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9849902128698886,83.38159433721623,56.774819338209824,46.73207240486431,1.2338463420601329,0,1.2338463420601329,0,0,111.22625872049787
Stage1,32.0,42,1446,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9849902128698886,83.38159433721623,56.774819338209824,46.73207240486431,1.5506447271836805,0,1.5506447271836805,0,0,10.393629703378613
