stage,lead_s,seed,config_id,name,n_res,sr,leak,ridge,washout,n_clips,median,q1,q3,mean,n_censored,cens_rate,median_estimable,median_is_lower_bound,median_strict,n_censored_strict,n_clips_nonfinite,rms_median,median_uncens,rank_in_lead
Stage1,4.0,42,nres400_sr0.7_leak1.0_ridge1e-08_wo50,,400,0.7,1.0,1e-08,50,29,0.10004198668714537,0.08336788690122887,0.18341719077562857,0.1926097855485372,0,0.0,1,0,0.10004198668714537,0,0,130.7910618043439,0.10004198668714537,145.0
Stage1,4.0,42,nres400_sr0.95_leak0.5_ridge1e-08_wo50,,400,0.95,0.5,1e-08,50,29,0.10004149862645484,0.06669465285222032,0.18341856725143657,0.505383663462055,2,0.06896551724137931,1,1,0.10004149862645484,2,0,123.11666864106353,0.08336812144212224,146.0
Stage1,4.0,42,nres400_sr1.1_leak0.5_ridge1e-08_wo50,,400,1.1,0.5,1e-08,50,29,0.10004149862645484,0.06669465779143025,0.266788641128187,0.4461635563005129,2,0.06896551724137931,1,1,0.10004149862645484,2,0,118.94682591751301,0.08337142334767123,146.0
Stage1,8.0,42,nres1600_sr0.95_leak0.5_ridge0.0001_wo50,,1600,0.95,0.5,0.0001,50,29,0.5335551749449223,0.23343145668841458,0.9837406721900095,1.11023408981793,5,0.1724137931034483,1,1,0.5335551749449223,5,0,54.96451891935944,0.40851204983027145,1.0
Stage1,8.0,42,nres1600_sr0.9_leak0.5_ridge0.0001_wo50,,1600,0.9,0.5,0.0001,50,29,0.4168402082498801,0.25010511701704985,1.4173146559934935,1.116558941005839,5,0.1724137931034483,1,1,0.4168402082498801,5,0,55.09650997655083,0.39182923957685034,2.0
Stage1,8.0,42,nres1600_sr0.7_leak0.5_ridge0.0001_wo50,,1600,0.7,0.5,0.0001,50,29,0.4001669264416705,0.2167577680814432,0.68362024236216,1.0504411643714862,5,0.1724137931034483,1,1,0.4001669264416705,5,0,57.42003295810835,0.35848250570719564,3.0
Stage1,8.0,42,nres1600_sr0.9_leak0.1_ridge0.0001_wo50,,1600,0.9,0.1,0.0001,50,29,0.40016691704204277,0.16673661921231542,0.8336822124185961,0.9452239579437615,4,0.13793103448275862,1,1,0.40016691704204277,4,0,48.28214103376062,0.3334732889571512,4.0
Stage1,8.0,42,nres1600_sr1.1_leak0.25_ridge0.0001_wo50,,1600,1.1,0.25,0.0001,50,29,0.38349212644695285,0.13338929536985233,0.8003338340840855,1.0446911673270796,5,0.1724137931034483,1,1,0.38349212644695285,5,0,47.870782825658566,0.2584416474456499,5.0
Stage1,8.0,42,nres800_sr0.95_leak0.25_ridge0.0001_wo50,,800,0.95,0.25,0.0001,50,29,0.36683713450287314,0.16673661670239426,0.7836612796734803,1.0188178985026464,5,0.1724137931034483,1,1,0.36683713450287314,5,0,52.34880599191149,0.3001251845050845,6.0
Stage1,8.0,42,nres800_sr0.95_leak0.25_ridge1e-06_wo50,,800,0.95,0.25,1e-06,50,29,0.3668193832598945,0.16673661921231542,0.8336794942131576,1.0153676995546264,5,0.1724137931034483,1,1,0.3668193832598945,5,0,69.99267126040331,0.25010512459160417,7.0
