trial,model,level,rep,sigma_theta_deg,sigma_omega,dth1_deg,dw1,dth2_deg,dw2,horizon_s,censored
13,PINN,th0.1,6,0.1,0.0,0.022737939460056058,0.0,0.058859891349101315,0.0,3.225,0
13,PINN,th0.1,7,0.1,0.0,-0.008077833579293418,-0.0,-0.050367831780730586,-0.0,3.825,0
13,PINN,th0.1,8,0.1,0.0,-0.0861853851794529,0.0,0.05668899375706286,0.0,3.2083333333333335,0
13,PINN,th0.1,9,0.1,0.0,0.05246255153228119,-0.0,0.16172005583545956,-0.0,3.2083333333333335,0
13,PINN,th0.1,10,0.1,0.0,-0.11256994020229853,-0.0,-0.13137437899216328,-0.0,3.816666666666667,0
13,PINN,th0.1,11,0.1,0.0,0.07342004861794527,-0.0,-0.06548694718188106,0.0,4.066666666666666,0
13,PINN,th0.1,12,0.1,0.0,-0.08488289082130433,-0.0,-0.007753123121846801,0.0,3.216666666666667,0
13,PINN,th0.1,13,0.1,0.0,0.04775934109225193,-0.0,0.12437447315380093,-0.0,3.216666666666667,0
13,PINN,th0.1,14,0.1,0.0,0.08821474099926968,0.0,0.052383456403137206,-0.0,3.825,0
13,PINN,th0.1,15,0.1,0.0,0.03959107877032395,-0.0,-0.06341553607057988,0.0,4.058333333333334,0
13,PINN,th0.1,16,0.1,0.0,0.08536019433486548,-0.0,-0.10803004006016532,0.0,4.316666666666666,0
13,PINN,th0.1,17,0.1,0.0,-0.10708486855154146,-0.0,0.09412010369414857,-0.0,3.2,0
13,PINN,th0.1,18,0.1,0.0,0.007696855695251149,-0.0,0.12546648793612922,0.0,3.2083333333333335,0
13,PINN,th0.1,19,0.1,0.0,-0.09010134021971662,0.0,0.02078326583090311,-0.0,3.2083333333333335,0
13,PINN,th0.45,0,0.45,0.0,-0.4288562643595394,-0.0,0.7173546490668923,-0.0,1.2166666666666666,0
13,PINN,th0.45,1,0.45,0.0,0.1673255603681054,0.0,-0.14430601383770475,-0.0,6.558333333333334,0
13,PINN,th0.45,2,0.45,0.0,0.6486026719412691,-0.0,-0.03518319075216952,-0.0,4.616666666666666,0
13,PINN,th0.45,3,0.45,0.0,-0.3741936337922468,0.0,-0.8314580148296122,0.0,6.308333333333334,0
13,PINN,th0.45,4,0.45,0.0,0.4219210597440548,0.0,0.14549611217986233,0.0,6.558333333333334,0
