side,subset,model,level,sigma_theta_deg,sigma_omega,n,median,q25,q75,mean,std,min,max,cens_frac,median_of_trial_medians,n_trials,median_vs_ideal
insim,chaos_pinn,MLP_lam0,w0.09,0.0,0.09,980.0,1.1875,0.5666666666666667,1.9333333333333333,1.8190901360544218,2.020411675439536,0.125,10.0,0.02040816326530612,1.2833333333333332,49.0,
insim,chaos_pinn,MLP_lam0,w0.2,0.0,0.2,980.0,1.0958333333333332,0.5229166666666667,1.8,1.5270238095238096,1.693300140057081,0.11666666666666667,10.0,0.013265306122448979,1.1625,49.0,
insim,chaos_pinn,MLP_lam0,joint_0.45_0.09,0.45,0.09,980.0,1.15,0.5729166666666666,1.9166666666666667,1.680527210884354,1.8173347988252966,0.13333333333333333,10.0,0.014285714285714285,1.2791666666666668,49.0,
insim,chaos_pinn,MLP_lam0,det_joint_0.45_0.09,0.45,0.09,49.0,1.2833333333333334,0.575,1.9166666666666667,1.7037414965986395,1.772711472347159,0.125,8.833333333333334,0.0,1.2833333333333334,49.0,
insim,chaos_own,MLP_lam0,clean,0.0,0.0,47.0,1.2,0.5416666666666667,1.8791666666666667,1.5751773049645386,1.5331615071511449,0.13333333333333333,6.333333333333333,0.0,1.2,47.0,
insim,chaos_own,MLP_lam0,th0.1,0.1,0.0,940.0,1.1916666666666667,0.525,1.8666666666666667,1.5811613475177304,1.5017175298812993,0.13333333333333333,6.341666666666667,0.0,1.2,47.0,
insim,chaos_own,MLP_lam0,th0.45,0.45,0.0,940.0,1.15,0.55,1.8583333333333334,1.5281382978723406,1.4383844170383433,0.13333333333333333,8.033333333333333,0.0,1.1916666666666667,47.0,
insim,chaos_own,MLP_lam0,th0.5,0.5,0.0,940.0,1.1416666666666666,0.55,1.85,1.5188031914893616,1.427478870044941,0.13333333333333333,8.058333333333334,0.0,1.1916666666666667,47.0,
insim,chaos_own,MLP_lam0,th1.0,1.0,0.0,940.0,1.0583333333333333,0.5333333333333333,1.7937500000000002,1.3768794326241132,1.3146979960630203,0.125,9.491666666666667,0.0,1.1291666666666667,47.0,
insim,chaos_own,MLP_lam0,w0.03,0.0,0.03,940.0,1.1916666666666667,0.5583333333333333,1.9,1.5904787234042552,1.5095619993986416,0.13333333333333333,6.341666666666667,0.0,1.1958333333333333,47.0,
insim,chaos_own,MLP_lam0,w0.09,0.0,0.09,940.0,1.1666666666666667,0.55,1.9,1.5655319148936169,1.4891328376801591,0.125,7.35,0.0,1.275,47.0,
insim,chaos_own,MLP_lam0,w0.2,0.0,0.2,940.0,1.075,0.50625,1.7083333333333333,1.3943794326241135,1.3738362613111141,0.11666666666666667,7.591666666666667,0.0,1.1416666666666666,47.0,
insim,chaos_own,MLP_lam0,joint_0.45_0.09,0.45,0.09,940.0,1.1291666666666667,0.55625,1.8583333333333334,1.4732801418439718,1.3621963055401012,0.13333333333333333,8.041666666666666,0.0,1.2125,47.0,
insim,chaos_own,MLP_lam0,det_joint_0.45_0.09,0.45,0.09,47.0,1.2666666666666666,0.5666666666666667,1.8041666666666667,1.4526595744680852,1.2457150062354556,0.125,5.966666666666667,0.0,1.2666666666666666,47.0,
insim,all50,Hybrid,clean,0.0,0.0,50.0,3.7458333333333336,3.15,6.2125,4.910666666666667,2.978836461886867,0.6083333333333333,10.0,0.2,3.7458333333333336,50.0,
insim,all50,Hybrid,th0.1,0.1,0.0,1000.0,3.691666666666667,3.0437499999999997,6.2,4.79965,2.928807353212986,0.49166666666666664,10.0,0.194,3.6875,50.0,
