side,subset,model,level,sigma_theta_deg,sigma_omega,n,median,q25,q75,mean,std,min,max,cens_frac,median_of_trial_medians,n_trials,median_vs_ideal
real,all29,MLP_lam0,th0.1,0.1,0.0,580.0,0.2667771991355039,0.1500630702102299,0.7002912799940528,0.5483058503860587,0.6980463702305534,0.05002098501071828,3.4847858641493588,0.0,0.2667771991355039,29.0,0.6836163993184812
real,all29,MLP_lam0,th0.45,0.45,0.0,580.0,0.2667771991355039,0.15006280392771387,0.7169680455429877,0.5700106360708684,0.7257178839283033,0.05002098501071828,3.4847858641493588,0.0,0.2667771991355039,29.0,0.7253025785033618
real,all29,MLP_lam0,th0.5,0.5,0.0,580.0,0.2667771991355039,0.15006280392771387,0.7211353853399443,0.5700393312772158,0.7238383192154252,0.05002098501071828,3.4847858641493588,0.0,0.2667771991355039,29.0,0.7169680455429877
real,all29,MLP_lam0,th1.0,1.0,0.0,580.0,0.2501051321661585,0.15006230895836836,0.7002908646996673,0.551295703828168,0.7119378287619764,0.05002098501071828,3.4847858641493588,0.0,0.2667771991355039,29.0,0.7002899077904488
real,all29,MLP_lam0,w0.03,0.0,0.03,580.0,0.2667771991355039,0.1500630702102299,0.7169638273505683,0.5492833663706235,0.6906820638053774,0.05002098501071828,3.501459480724236,0.0,0.2667771991355039,29.0,0.6836163993184812
real,all29,MLP_lam0,w0.09,0.0,0.09,580.0,0.25010398825543234,0.14589408065438292,0.7211322216956297,0.5426139804102816,0.639232671643783,0.05002098501071828,3.4847858641493588,0.0,0.2667771991355039,29.0,0.7002927088877016
real,all29,MLP_lam0,w0.2,0.0,0.2,580.0,0.25010416358988596,0.13339305695281212,0.7169680455429877,0.5132337523368398,0.5661477510080256,0.05002098501071828,3.5181330972991134,0.0,0.2667771991355039,29.0,0.6335994058116832
real,all29,MLP_lam0,joint_0.45_0.09,0.45,0.09,580.0,0.25010398825543234,0.15006230895836836,0.7336374047308141,0.5548893330270355,0.6634560402663578,0.05002098501071828,3.4847858641493588,0.0,0.26677755491414246,29.0,0.7336371114637359
real,all29,MLP_lam0,det_joint_0.45_0.09,0.45,0.09,29.0,0.2501036241895349,0.1333893957424266,0.7002902499703225,0.5548317718300981,0.7110555512306678,0.05002098501071828,3.451438630999604,0.0,0.2501036241895349,29.0,0.666946466809577
real,all29,Hybrid,clean,0.0,0.0,29.0,0.48353503611701854,0.1667358988426315,0.9170491848880147,0.7135205218340527,0.7214198394617326,0.05002098501071828,2.91788290060353,0.0,0.48353503611701854,29.0,3.017921458282217
real,all29,Hybrid,th0.1,0.1,0.0,580.0,0.48353503611701854,0.1667358988426315,0.9212175902738693,0.7180626319641511,0.7137703542984942,0.05002098501071828,2.91788290060353,0.0,0.48353503611701854,29.0,3.001247859065188
real,all29,Hybrid,th0.45,0.45,0.0,580.0,0.450187290630339,0.16673671654116262,0.9170491848880147,0.7042922630836066,0.7140146080660034,0.05002098501071828,2.91788290060353,0.0,0.48353503611701854,29.0,1.9842405183908909
real,all29,Hybrid,th0.5,0.5,0.0,580.0,0.450187290630339,0.16673671654116262,0.9170491848880147,0.6994912935882754,0.7090417830992729,0.05002098501071828,2.91788290060353,0.0,0.48353503611701854,29.0,1.8007563559824789
real,all29,Hybrid,th1.0,1.0,0.0,580.0,0.4335135796427494,0.18340948872689466,0.9003755633445962,0.6762342803830484,0.7058083027529793,0.05002098501071828,3.0679422299252224,0.0,0.47519822514948373,29.0,1.325552969903545
real,all29,Hybrid,w0.03,0.0,0.03,580.0,0.4501877922468793,0.1667358988426315,0.9170491848880147,0.694891972247184,0.685164823837415,0.05002098501071828,2.9345565171784074,0.0,0.48353503611701854,29.0,2.859522265720443
real,all29,Hybrid,w0.09,0.0,0.09,580.0,0.4418593460191147,0.16673644880857097,0.9670801502237936,0.7221158961554234,0.7307441228479085,0.05002098501071828,3.501459480724236,0.0,0.5002086580520881,29.0,1.9924986771903104
real,all29,Hybrid,w0.2,0.0,0.2,580.0,0.4501871788597782,0.1667366321305508,0.9170491848880147,0.6972777169608441,0.6990058108996053,0.05002098501071828,3.501459480724236,0.0,0.4418504889519994,29.0,1.3005425624065658
real,all29,Hybrid,joint_0.45_0.09,0.45,0.09,580.0,0.4335141703118097,0.16673671654116262,0.9504045713684377,0.7059595557124675,0.728080697916909,0.05002098501071828,3.5181330972991134,0.0,0.450187290630339,29.0,1.4256220943289861
real,all29,Hybrid,det_joint_0.45_0.09,0.45,0.09,29.0,0.3501460744940754,0.1667358988426315,0.950441666666535,0.6611994158987721,0.6810930407456566,0.05002098501071828,2.4343454650493612,0.0,0.3501460744940754,29.0,1.9842405183908909
real,all29,Analytic,clean,0.0,0.0,29.0,0.46686141418194893,0.1667358988426315,0.9170491848880147,0.7209949524354976,0.7185415110459455,0.05002098501071828,2.9012092840286527,0.0,0.46686141418194893,29.0,3.9849956424816355
real,all29,Analytic,th0.1,0.1,0.0,580.0,0.4502056860774246,0.1667358988426315,0.9170491848880147,0.7142391470580808,0.7099670677292204,0.05002098501071828,2.9012092840286527,0.0,0.46686141418194893,29.0,3.9849856779162622
real,all29,Analytic,th0.45,0.45,0.0,580.0,0.450187290630339,0.16673674467803323,0.9253973053326447,0.7080583560357132,0.7077688689073462,0.05002098501071828,2.91788290060353,0.0,0.46686141418194893,29.0,2.5677352102804605
real,all29,Analytic,th0.5,0.5,0.0,580.0,0.43353140140789037,0.16673674467803323,0.9378892697088204,0.7055859704585365,0.705391233895371,0.05002098501071828,2.91788290060353,0.0,0.46686141418194893,29.0,2.501043389243396
real,all29,Analytic,th1.0,1.0,0.0,580.0,0.4168571167383561,0.18340948872689466,0.8878697599200813,0.6605668363436464,0.6775917209761779,0.05002098501071828,2.91788290060353,0.0,0.46686141418194893,29.0,1.4922895438413093
real,all29,Analytic,w0.03,0.0,0.03,580.0,0.4501877922468793,0.1667358988426315,0.9170491848880147,0.6975368238357583,0.6822241731702281,0.05002098501071828,2.9345565171784074,0.0,0.48353503611701854,29.0,3.943468324344849
real,all29,Analytic,w0.09,0.0,0.09,580.0,0.450187290630339,0.1667358988426315,0.9545980867164516,0.7184652401788312,0.7308476037031111,0.05002098501071828,3.501459480724236,0.0,0.5002086580520881,29.0,2.4009965331670173
real,all29,Analytic,w0.2,0.0,0.2,580.0,0.4501871788597782,0.16673644880857097,0.9170463252410599,0.6878487883048775,0.6938057157683327,0.05002098501071828,3.501459480724236,0.0,0.4418504889519994,29.0,1.3672327986369623
real,all29,Analytic,joint_0.45_0.09,0.45,0.09,580.0,0.4418592626627529,0.1667366321305508,0.950441666666535,0.7109906296682497,0.7300590341085691,0.05002098501071828,3.501459480724236,0.0,0.450187290630339,29.0,1.9091660641361514
real,all29,Analytic,det_joint_0.45_0.09,0.45,0.09,29.0,0.3668196970890314,0.1500630702102299,0.8336794594896446,0.6341770815701139,0.6520212587810087,0.05002098501071828,2.451019064125042,0.0,0.3668196970890314,29.0,2.0675308548113094
