protocol,level_deg,rep,delta_th1_deg,delta_th2_deg,horizon_s,censored,s0_err_seen_by_model_deg,traj_drift_at_t20_th1_deg,traj_drift_at_t20_th2_deg,ref_horizon_s
old,0.5,0,0.37162708560172114,0.2715771341525975,5.316666666666666,0,0.0,3.4926862284222686,6.091739265038392,5.841666666666667
old,0.5,1,-0.33275485364434715,0.11608066153335989,3.816666666666667,0,0.0,8.2678682955702,21.595493210653636,5.841666666666667
old,0.5,2,0.05834290457036411,0.10934429836450647,5.283333333333333,0,0.0,5.051894654872881,10.706733262711177,5.841666666666667
old,0.5,3,0.4357143889740949,0.11179777438734113,3.95,0,0.0,14.290599401696927,28.735895020285785,5.841666666666667
old,0.5,4,0.33945678153594744,0.03378953474444573,5.85,0,0.0,14.649268379482345,29.02405573725975,5.841666666666667
old,0.5,5,0.14455969934499208,0.3156441129192702,3.4916666666666667,0,0.0,8.78455140456006,20.221156726400434,5.841666666666667
old,0.5,6,-0.7285779099278332,-0.15983560817865067,3.816666666666667,0,0.0,7.527224213539069,21.8668091684956,5.841666666666667
old,0.5,7,-0.23518632714639776,-0.31943892412167096,2.7666666666666666,0,0.0,10.457228320020025,18.849531365661534,5.841666666666667
old,0.5,8,-0.13757112561334187,0.7474706556171979,3.158333333333333,0,0.0,5.446945608685794,12.796890042218108,5.841666666666667
old,0.5,9,-0.4329155578466216,0.4841391772957404,3.4166666666666665,0,0.0,5.788667889653546,15.593294114734451,5.841666666666667
old,0.5,10,-0.8414348858079024,-0.16744251499288743,3.808333333333333,0,0.0,7.1744085522506555,22.012375511724823,5.841666666666667
old,0.5,11,0.0813765325525028,0.2931111656796391,3.4916666666666667,0,0.0,8.776250349474235,20.546036160832674,5.841666666666667
old,0.5,12,0.3556132898964275,0.3966736175999626,3.5083333333333333,0,0.0,8.663259761691354,18.866063998727704,5.841666666666667
old,0.5,13,-0.1743625361242188,-0.23117589633228358,3.375,0,0.0,7.843599136600036,14.361679385080595,5.841666666666667
old,0.5,14,0.4289879406285769,-0.09565216244080745,3.3833333333333333,0,0.0,23.199001808821215,44.83851335466065,5.841666666666667
old,0.5,15,-0.6378431616689609,-0.5666436070017403,5.85,0,0.0,7.668712163389931,11.7145675231264,5.841666666666667
old,0.5,16,-0.45972614300080566,0.24858037202688202,3.45,0,0.0,7.52968534938433,20.749095866819363,5.841666666666667
old,0.5,17,0.07121286803528262,0.3452426770338841,3.4833333333333334,0,0.0,8.883379657876022,21.14132824160809,5.841666666666667
old,0.5,18,-0.21362632316826713,0.07926984553835711,3.8333333333333335,0,0.0,8.204234065252365,20.200180095177263,5.841666666666667
old,0.5,19,0.31279519698366837,-0.1546732698601192,3.375,0,0.0,22.279791138762363,42.64694423066283,5.841666666666667
old,1.0,0,0.45677523755741145,-0.6619259410666513,3.466666666666667,0,0.0,37.092033698675685,66.46320622340869,5.841666666666667
old,1.0,1,-0.3630538465650718,-0.3817378939983291,3.6416666666666666,0,0.0,8.595343302320655,14.83720874212828,5.841666666666667
old,1.0,2,-1.1958396455890397,0.4869724807855818,4.133333333333334,0,0.0,18.999124241519567,31.563699635503447,5.841666666666667
old,1.0,3,-0.46940234020272387,0.01249411872768743,3.816666666666667,0,0.0,8.027156483427802,21.64947603219363,5.841666666666667
old,1.0,4,0.48074665890590895,0.4465311760299441,3.5166666666666666,0,0.0,8.456013107899057,17.79955420929233,5.841666666666667
old,1.0,5,0.6653851089727862,-0.09848548450942361,3.3916666666666666,0,0.0,29.121354619435117,56.1195068444,5.841666666666667
old,1.0,6,-0.42329831204415375,-0.07971821090639905,4.375,0,0.0,7.585863227853998,19.511182213487036,5.841666666666667
old,1.0,7,-1.6873344339580298,-1.4471124724230873,3.6083333333333334,0,0.0,15.828491408847212,18.832548719282535,5.841666666666667
