seed,trial,h_legacy,h_fixed,err0_legacy_deg,err0_fixed_deg
100,36,0.041666666666666664,0.10833333333333334,0.5583346627995958,0.002811955858799235
100,37,10.0,10.0,1.5572769369268118,0.00014732154972173277
100,38,0.7333333333333333,4.358333333333333,0.41816671032462494,0.00023321141080322896
100,39,10.0,10.0,1.8579804130265256,0.0003399871543590081
100,40,10.0,10.0,2.2721612184278315,8.306298395528684e-05
100,41,0.31666666666666665,0.35,4.029068641660327,0.0012080191626669488
100,42,0.041666666666666664,0.14166666666666666,2.888258608182325,0.004313627661103528
100,43,2.1166666666666667,6.208333333333333,0.7099980329067088,4.274411166352383e-05
100,44,0.9333333333333333,0.95,4.574450840567334,0.0033055646900776448
100,45,0.525,0.5583333333333333,1.9876787172174908,0.0007582637176994684
100,46,10.0,10.0,0.6441782179989215,0.0001494502664752152
100,47,10.0,10.0,2.8938196305631756,0.00012933736016648804
100,48,1.9833333333333334,1.0166666666666666,0.22416479889673463,0.0009482511830392163
100,49,0.16666666666666666,0.24166666666666667,4.918968957637854,0.001197728123690918
1,0,0.15833333333333333,0.21666666666666667,3.22523491135495,0.0011486870977113271
1,1,0.325,4.075,1.9746308558988537,0.000332819933740938
1,2,0.11666666666666667,0.15833333333333333,1.0453441610531455,0.0019272353670628914
1,3,0.5833333333333334,1.825,1.3365433829658033,0.0003577960022249747
1,4,0.175,0.18333333333333332,3.005144535179373,0.0013056876856953222
1,5,0.425,0.8166666666666667,2.041634867214783,6.0375368085334934e-05
1,6,10.0,10.0,1.8131972808425934,6.377335236946408e-05
1,7,10.0,10.0,2.33198864172245,0.00021517667577905744
1,8,0.10833333333333334,0.375,0.5767453677150063,0.00033077351057949033
1,9,0.7666666666666667,3.2,1.0114860697558157,0.00011671209810047256
1,10,0.19166666666666668,0.26666666666666666,2.0689651117325183,8.99932749195176e-05
1,11,0.11666666666666667,0.31666666666666665,1.859991850260661,0.0028636664491580024
1,12,0.10833333333333334,0.43333333333333335,0.5039606930919154,0.0002083463070555397
1,13,0.325,0.375,1.062326194417068,0.00034629878826985237
1,14,0.09166666666666666,0.14166666666666666,1.7412623260371358,0.0009528435277388357
1,15,0.1,0.2833333333333333,3.5055095310768536,0.0017882829643085054
1,16,10.0,10.0,2.146456125144517,2.797120747503263e-05
1,17,10.0,10.0,1.6771405273993585,0.00020666756470734299
1,18,0.08333333333333333,0.15833333333333333,2.2350728456167173,0.0009005096675818037
1,19,0.2833333333333333,0.875,6.295394428091267,0.0017373205009213527
1,20,0.23333333333333334,0.8416666666666667,3.948855494790957,0.0006276111549009242
1,21,0.2833333333333333,0.875,4.753684741822407,0.00017928386152265906
1,22,0.125,0.35833333333333334,2.357276688931257,0.0019077588936788322
1,23,10.0,10.0,1.383419366713284,0.00021687615415636347
1,24,10.0,10.0,2.5975943877339938,0.00022833496078481012
1,25,0.08333333333333333,0.13333333333333333,1.14067173738378,0.0016825928696523721
1,26,3.908333333333333,10.0,2.463513132618739,5.437117421428513e-05
1,27,10.0,10.0,1.7366225290728308,0.0001310358987075788
1,28,10.0,10.0,0.7017594654184943,3.496116453524473e-05
1,29,0.09166666666666666,0.125,1.536693759287538,0.004099696650055054
1,30,10.0,10.0,1.0918377937502712,6.453181771902111e-05
1,31,10.0,10.0,1.0698277585368439,0.0001774547056765586
1,32,10.0,10.0,1.5326355143538888,7.367050321889554e-05
1,33,10.0,10.0,2.50174992236403,0.00017090393767671064
1,34,0.016666666666666666,0.375,6.251138276575135,0.0020483291012209385
1,35,1.0583333333333333,3.8916666666666666,1.7301661617890645,0.00044273163633947246
1,36,0.075,0.125,0.48393141365328607,0.00042721438030814894
1,37,1.425,10.0,1.549119705546797,0.00012127255599817942
1,38,0.075,0.6666666666666666,0.41817800625483037,0.0001153322319564116
1,39,10.0,10.0,1.8361076889556915,0.0006498380025099106
1,40,1.075,10.0,2.254906258022251,3.65841845595401e-05
1,41,0.31666666666666665,0.3416666666666667,4.0747622498567155,0.0011878840383142467
1,42,0.1,0.1,2.8429313644417937,0.006977064158574974
1,43,0.31666666666666665,0.85,0.7179511027980755,0.00015604649950151024
1,44,0.2,0.2,4.443541697665414,0.002955320392784705
1,45,0.1,0.20833333333333334,2.000223711779734,0.00046936060880958634
1,46,10.0,10.0,0.6613520736081581,4.1723672327336504e-05
1,47,0.6083333333333333,5.158333333333333,2.9628625537492566,0.000100415628797891
1,48,0.325,0.55,0.23685332203086795,0.0007873154405893173
1,49,0.225,0.3,5.307363055663338,0.003692794785420002
2,0,0.24166666666666667,0.775,3.342522002052729,0.0005490125708757253
2,1,10.0,10.0,2.0390186958370147,6.294764699818145e-05
2,2,0.15,0.175,0.8629780257120213,0.001961101196794191
2,3,2.7916666666666665,3.6166666666666667,1.3326818555982378,0.00016909075273645557
2,4,0.10833333333333334,0.36666666666666664,3.0532954787420525,0.00127595853209152
2,5,0.4583333333333333,0.7166666666666667,2.1705001432202193,6.330602085822774e-05
2,6,10.0,10.0,1.8708618661829575,7.07742934644728e-05
2,7,4.25,10.0,2.4424650423442884,8.332752282242097e-05
2,8,0.11666666666666667,0.7416666666666667,0.5935201777117184,0.0002120555318779957
2,9,7.791666666666667,7.141666666666667,0.9698788614471187,0.0005710165711736165
2,10,0.18333333333333332,0.8916666666666667,2.0115716680715674,0.00017637470019585554
2,11,0.18333333333333332,0.5333333333333333,1.9239332591621199,0.0011372443227576142
2,12,0.5333333333333333,1.325,0.5222184279460841,0.0002727559071597008
2,13,0.18333333333333332,0.7416666666666667,1.0761866234483592,0.0011270019814863118
2,14,0.11666666666666667,0.43333333333333335,1.669647984478128,0.0007161843889185575
2,15,0.6,0.5666666666666667,3.6906547173101143,0.0010799745838764017
2,16,10.0,10.0,2.2114257972216005,0.0002715763599582541
2,17,10.0,10.0,1.620960462765709,0.0001416692923168349
2,18,0.18333333333333332,0.18333333333333332,2.131759147106206,0.0006327708548723454
2,19,0.25833333333333336,0.625,6.436182531857855,0.002090626793095244
2,20,1.1083333333333334,2.2583333333333333,3.8772855094355574,0.00046713669665066467
2,21,1.7916666666666667,10.0,4.766571661601186,0.00012568715440107098
2,22,0.09166666666666666,0.95,2.289660610726109,0.0008557191428142902
2,23,10.0,10.0,1.430117474710254,0.00018992706981705275
2,24,0.10833333333333334,0.9,2.6325747312468253,0.000146363801675749
2,25,0.11666666666666667,0.13333333333333333,1.236578525090787,0.0033671455277734263
2,26,10.0,10.0,2.3918371344395246,0.00017670285183309342
2,27,10.0,10.0,1.794163037684943,0.0002394241557398996
2,28,10.0,10.0,0.7071204537602515,2.7582359481862566e-05
2,29,0.05,0.08333333333333333,1.6969450761214857,0.0025046171044447348
2,30,10.0,10.0,1.084944063947914,0.00011506714832191442
2,31,8.116666666666667,10.0,1.1012695248065316,6.67727734736944e-05
2,32,10.0,10.0,1.5328112586446478,0.00010345562678865789
2,33,10.0,10.0,2.4887306513272462,6.47898685757525e-05
2,34,0.08333333333333333,0.15833333333333333,5.1341407473757945,0.002968883608200778
